"package_name","categories","is_essential","website_url","repo_url","date_added","notes"
"interactions","stats",FALSE,"https://interactions.jacob-long.com/","https://github.com/jacob-long/interactions/","1900-01-01",""
"jcolors","scales_and_guides",FALSE,"https://jaredhuling.org/jcolors/","https://github.com/jaredhuling/jcolors/","1900-01-01",""
"jjAnno","annotations",FALSE,NA,"https://github.com/junjunlab/jjAnno/","1900-01-01",""
"jjPlot","geoms|stats",FALSE,NA,"https://github.com/junjunlab/jjPlot/","1900-01-01",""
"jtools","stats",FALSE,"https://jtools.jacob-long.com/","https://github.com/jacob-long/jtools/","1900-01-01",""
"lato","themes",FALSE,NA,"https://github.com/briandconnelly/lato/","1900-01-01",""
"layer","maps",FALSE,"https://marcosci.github.io/layer/","https://github.com/marcosci/layer/","1900-01-01",""
"legendry","scales_and_guides",FALSE,"https://teunbrand.github.io/legendry/","https://github.com/teunbrand/legendry/","1900-01-01",""
"lemon","coords",FALSE,NA,"https://github.com/stefanedwards/lemon/","1900-01-01",""
"likert","geoms",FALSE,"https://jbryer.github.io/likert/","https://github.com/jbryer/likert/","1900-01-01",""
"lindia","stats",FALSE,NA,"https://github.com/yeukyul/lindia/","1900-01-01",""
"linkET","data",FALSE,NA,"https://github.com/Hy4m/linkET/","1900-01-01",""
"ltc_palettes","scales_and_guides",FALSE,NA,"https://github.com/loukesio/ltc_palettes/","1900-01-01",""
"mapDK","maps",FALSE,NA,"https://github.com/sebastianbarfort/mapDK/","1900-01-01",""
"mapSpain","maps",FALSE,"https://ropenspain.github.io/mapSpain/","https://github.com/rOpenSpain/mapSpain/","1900-01-01",""
"mapdata","maps",FALSE,NA,NA,"1900-01-01",""
"mapproj","maps",FALSE,NA,NA,"1900-01-01",""
"maps","maps",FALSE,NA,"https://github.com/adeckmyn/maps/","1900-01-01",""
"marquee","annotations",FALSE,"https://marquee.r-lib.org/","https://github.com/r-lib/marquee/","1900-01-01",""
"mdthemes","themes",FALSE,NA,"https://github.com/thomas-neitmann/mdthemes/","1900-01-01",""
"metR","data|geoms|maps|scales_and_guides",FALSE,"https://eliocamp.github.io/metR/","https://github.com/eliocamp/metR/","1900-01-01",""
"metallicaRt","scales_and_guides",FALSE,NA,"https://github.com/johnmackintosh/metallicaRt/","1900-01-01",""
"metaplot","geoms",FALSE,NA,"https://github.com/markvanderloo/metaplot/","1900-01-01",""
